Team,2017,2018,2019,2020,2021
AFC Bournemouth,9,12,14,19,0
Bournemouth,9,12,14,19,0
Arsenal,5,6,5,10,8
Aston Villa,0,0,0,18,11
Brighton & Hove Albion,0,15,17,15,16
Brighton,0,15,17,15,16
Burnley,16,7,15,9,17
Cardiff City,0,0,18,0,0
Cardiff,0,0,18,0,0
Chelsea FC,1,5,3,4,4
Chelsea,1,5,3,4,4
Crystal Palace,14,11,12,14,14
Everton FC,7,8,8,12,10
Everton,7,8,8,12,10
Fulham,0,0,19,0,18
Huddersfield Town,0,16,20,0,0
Huddersfield,0,16,20,0,0
Hull City,18,0,0,0,0
Hull,18,0,0,0,0
Leeds United,0,0,0,0,9
Leeds,0,0,0,0,9
Leicester City,12,9,9,5,5
Leicester,12,9,9,5,5
Liverpool FC,4,4,2,1,3
Liverpool,4,4,2,1,3
Manchester City,3,1,1,2,1
Man City,3,1,1,2,1
Manchester United,6,2,6,3,2
Man United,6,2,6,3,2
Middlesbrough,19,0,0,0,0
Newcastle United,0,10,13,13,12
Newcastle,0,10,13,13,12
Norwich City,0,0,0,20,0
Norwich,0,0,0,20,0
Sheffield United FC,0,0,0,7,20
Sheffield United,0,0,0,7,20
Southampton,8,17,16,11,15
Stoke City,13,19,0,0,0
Stoke,13,19,0,0,0
Sunderland,20,0,0,0,0
Swansea City,15,18,0,0,0
Swansea,15,18,0,0,0
Tottenham Hotspur,2,3,4,8,7
Tottenham,2,3,4,8,7
Watford,17,14,11,17,0
West Brom,10,20,0,0,19
West Ham United,11,13,10,16,6
West Ham,11,13,10,16,6
Wolverhampton Wanderers,0,0,7,6,13
Wolves,0,0,7,6,13
Brentford,0,0,0,0,0
