Check,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,FTRH,FTRA,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTLP,ATLP,MW,HTFPS,ATFPS,HTFP,ATFP,HTWS3,HTWS5,HTLS3,HTLS5,ATWS3,ATWS5,ATLS3,ATLS5,HTGD,ATGD,DP,DFP,DLP
True,2021-08-13,Brentford,Arsenal,2,0,0,1,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,20,5,1,NNNNN,NNNNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
True,2021-08-14,Man United,Leeds,5,1,0,1,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,6,20,1,NNNNN,NNNNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14
True,2021-08-14,Burnley,Brighton,1,2,2,0,1,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,16,20,1,NNNNN,NNNNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
True,2021-08-14,Chelsea,Crystal Palace,3,0,0,1,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,1,14,1,NNNNN,NNNNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13
True,2021-08-14,Everton,Southampton,3,1,0,1,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,7,8,1,NNNNN,NNNNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
True,2021-08-14,Leicester,Wolves,1,0,0,1,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,12,20,1,NNNNN,NNNNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
True,2021-08-14,Watford,Aston Villa,3,2,0,1,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,17,20,1,NNNNN,NNNNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
True,2021-08-14,Norwich,Liverpool,0,3,2,0,1,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,20,4,1,NNNNN,NNNNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
True,2021-08-15,Newcastle,West Ham,2,4,2,0,1,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,20,11,1,NNNNN,NNNNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
True,2021-08-15,Tottenham,Man City,1,0,0,1,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2,3,1,NNNNN,NNNNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
True,2021-08-21,Liverpool,Burnley,2,0,0,1,0,3,1,0,2,3,0,0,3,3,3,3,2,3,3,3,3,4,16,2,WNNNN,LNNNN,3,0,0,0,0,0,0,0,0,0,3,-1,3,3,-12
True,2021-08-21,Aston Villa,Newcastle,2,0,0,1,0,2,2,3,4,0,0,2,3,3,3,3,2,3,3,3,3,20,20,2,LNNNN,LNNNN,0,0,0,0,0,0,0,0,0,0,-1,-2,0,0,0
True,2021-08-21,Crystal Palace,Brentford,0,0,1,0,0,0,2,3,0,0,3,2,3,3,3,3,0,3,3,3,3,14,20,2,LNNNN,WNNNN,0,3,0,0,0,0,0,0,0,0,-3,2,-3,-3,-6
True,2021-08-21,Leeds,Everton,2,2,1,0,0,1,3,5,1,0,3,2,3,3,3,3,0,3,3,3,3,20,7,2,LNNNN,WNNNN,0,3,0,0,0,0,0,0,0,0,-4,2,-3,-3,13
True,2021-08-21,Man City,Norwich,5,0,0,1,0,0,0,1,3,0,0,2,3,3,3,3,2,3,3,3,3,3,20,2,LNNNN,LNNNN,0,0,0,0,0,0,0,0,0,0,-1,-3,0,0,-17
True,2021-08-21,Brighton,Watford,2,0,0,1,0,2,3,1,2,3,3,0,3,3,3,3,0,3,3,3,3,20,17,2,WNNNN,WNNNN,3,3,0,0,0,0,0,0,0,0,1,1,0,0,3
True,2021-08-22,Southampton,Man United,1,1,1,0,0,1,5,3,1,0,3,2,3,3,3,3,0,3,3,3,3,8,6,2,LNNNN,WNNNN,0,3,0,0,0,0,0,0,0,0,-2,4,-3,-3,2
True,2021-08-22,Wolves,Tottenham,0,1,2,0,1,0,1,1,0,0,3,2,3,3,3,3,0,3,3,3,3,20,2,2,LNNNN,WNNNN,0,3,0,0,0,0,0,0,0,0,-1,1,-3,-3,18
True,2021-08-22,Arsenal,Chelsea,0,2,2,0,1,0,3,2,0,0,3,2,3,3,3,3,0,3,3,3,3,5,1,2,LNNNN,WNNNN,0,3,0,0,0,0,0,0,0,0,-2,3,-3,-3,4
False,2021-08-23,West Ham,Leicester,0,0,1,0,0,4,1,2,0,3,3,0,3,3,3,3,0,3,3,3,3,11,12,2,WNNNN,WNNNN,3,3,0,0,0,0,0,0,0,0,2,1,0,0,-1
False,2021-08-28,Man City,Arsenal,0,0,1,0,0,5,0,1,4,3,0,0,2,3,3,3,2,2,3,3,3,3,5,3,WLNNN,LLNNN,3,0,0,0,0,0,0,0,0,0,4,-4,3,3,-2
False,2021-08-28,Aston Villa,Brentford,0,0,1,0,0,4,2,3,0,3,4,0,2,3,3,3,1,0,3,3,3,20,20,3,WLNNN,DWNNN,3,4,0,0,0,0,0,0,0,0,1,2,-1,-1,0
False,2021-08-28,Brighton,Everton,0,0,1,0,0,4,5,1,3,6,4,0,0,3,3,3,1,0,3,3,3,20,7,3,WWNNN,DWNNN,6,4,0,0,0,0,0,0,0,0,3,2,2,2,13
False,2021-08-28,Newcastle,Southampton,0,0,1,0,0,2,2,6,4,0,1,2,2,3,3,3,1,2,3,3,3,20,8,3,LLNNN,DLNNN,0,1,0,0,0,0,0,0,0,0,-4,-2,-1,-1,12
False,2021-08-28,Norwich,Leicester,0,0,1,0,0,0,1,8,0,0,4,2,2,3,3,3,1,0,3,3,3,20,12,3,LLNNN,DWNNN,0,4,0,0,0,0,0,0,0,0,-8,1,-4,-4,8
False,2021-08-28,West Ham,Crystal Palace,0,0,1,0,0,4,0,2,3,4,1,1,0,3,3,3,1,2,3,3,3,11,14,3,DWNNN,DLNNN,4,1,0,0,0,0,0,0,0,0,2,-3,3,3,-3
False,2021-08-28,Liverpool,Chelsea,0,0,1,0,0,5,5,0,0,6,6,0,0,3,3,3,0,0,3,3,3,4,1,3,WWNNN,WWNNN,6,6,0,0,0,0,0,0,0,0,5,5,0,0,3
False,2021-08-29,Burnley,Leeds,0,0,1,0,0,1,3,4,7,0,1,2,2,3,3,3,1,2,3,3,3,16,20,3,LLNNN,DLNNN,0,1,0,0,0,0,0,0,0,0,-3,-4,-1,-1,-4
False,2021-08-29,Tottenham,Watford,0,0,1,0,0,2,3,0,4,6,3,0,0,3,3,3,2,0,3,3,3,2,17,3,WWNNN,LWNNN,6,3,0,0,0,0,0,0,0,0,2,-1,3,3,-15
False,2021-08-29,Wolves,Man United,0,0,1,0,0,0,6,2,2,0,4,2,2,3,3,3,1,0,3,3,3,20,6,3,LLNNN,DWNNN,0,4,0,0,0,0,0,0,0,0,-2,4,-4,-4,14
False,2021-09-11,Crystal Palace,Tottenham,0,0,1,0,0,0,2,3,0,2,7,1,1,2,3,3,1,0,0,3,3,14,2,4,DDLNN,DWWNN,2,7,0,0,0,0,0,0,0,0,-3,2,-5,-5,12
False,2021-09-11,Arsenal,Norwich,0,0,1,0,0,0,0,4,8,1,1,1,2,2,3,3,1,2,2,3,3,5,20,4,DLLNN,DLLNN,1,1,0,0,0,0,0,0,0,0,-4,-8,0,0,-15
False,2021-09-11,Brentford,Brighton,0,0,1,0,0,2,4,0,1,5,7,1,1,0,3,3,1,0,0,3,3,20,20,4,DDWNN,DWWNN,5,7,0,0,0,0,0,0,0,0,2,3,-2,-2,0
False,2021-09-11,Leicester,Man City,0,0,1,0,0,1,5,0,1,5,4,1,1,0,3,3,1,0,2,3,3,12,3,4,DDWNN,DWLNN,5,4,0,0,0,0,0,0,0,0,1,4,1,1,9
False,2021-09-11,Man United,Newcastle,0,0,1,0,0,6,2,2,6,5,1,1,1,0,3,3,1,2,2,3,3,6,20,4,DDWNN,DLLNN,5,1,0,0,0,0,0,0,0,0,4,-4,4,4,-14
False,2021-09-11,Southampton,West Ham,0,0,1,0,0,2,4,4,2,2,5,1,1,2,3,3,1,1,0,3,3,8,11,4,DDLNN,DDWNN,2,5,0,0,0,0,0,0,0,0,-2,2,-3,-3,-3
False,2021-09-11,Watford,Wolves,0,0,1,0,0,3,0,4,2,4,1,1,2,0,3,3,1,2,2,3,3,17,20,4,DLWNN,DLLNN,4,1,0,0,0,0,0,0,0,0,-1,-2,3,3,-3
False,2021-09-11,Chelsea,Aston Villa,0,0,1,0,0,5,4,0,3,7,4,1,0,0,3,3,1,0,2,3,3,1,20,4,DWWNN,DWLNN,7,4,0,0,0,0,0,0,0,0,5,1,3,3,-19
False,2021-09-12,Leeds,Liverpool,0,0,1,0,0,3,5,7,0,2,7,1,1,2,3,3,1,0,0,3,3,20,4,4,DDLNN,DWWNN,2,7,0,0,0,0,0,0,0,0,-4,5,-5,-5,16
False,2021-09-13,Everton,Burnley,0,0,1,0,0,5,1,3,4,5,1,1,1,0,3,3,1,2,2,3,3,7,16,4,DDWNN,DLLNN,5,1,0,0,0,0,0,0,0,0,2,-3,4,4,-9
False,2021-09-17,Newcastle,Leeds,0,0,1,0,0,2,3,6,7,2,3,1,1,2,2,3,1,1,1,2,3,20,20,5,DDLLN,DDDLN,2,3,0,0,0,0,0,0,0,0,-4,-4,-1,-1,0
False,2021-09-18,Wolves,Brentford,0,0,1,0,0,0,2,2,0,2,6,1,1,2,2,3,1,1,1,0,3,20,20,5,DDLLN,DDDWN,2,6,0,0,0,0,0,0,0,0,-2,2,-4,-4,0
False,2021-09-18,Burnley,Arsenal,0,0,1,0,0,1,0,4,4,2,2,1,1,2,2,3,1,1,2,2,3,16,5,5,DDLLN,DDLLN,2,2,0,0,0,0,0,0,0,0,-3,-4,0,0,11
False,2021-09-18,Liverpool,Crystal Palace,0,0,1,0,0,5,0,0,3,8,3,1,1,0,0,3,1,1,1,2,3,4,14,5,DDWWN,DDDLN,8,3,0,0,0,0,0,0,0,0,5,-3,5,5,-10
False,2021-09-18,Man City,Southampton,0,0,1,0,0,5,2,1,4,5,3,1,1,0,2,3,1,1,1,2,3,3,8,5,DDWLN,DDDLN,5,3,0,0,0,0,0,0,0,0,4,-2,2,2,-5
False,2021-09-18,Norwich,Watford,0,0,1,0,0,0,3,8,4,2,5,1,1,2,2,3,1,1,2,0,3,20,17,5,DDLLN,DDLWN,2,5,0,0,0,0,0,0,0,0,-8,-1,-3,-3,3
False,2021-09-18,Aston Villa,Everton,0,0,1,0,0,4,5,3,3,5,6,1,1,0,2,3,1,1,1,0,3,20,7,5,DDWLN,DDDWN,5,6,0,0,0,0,0,0,0,0,1,2,-1,-1,13
False,2021-09-19,Brighton,Leicester,0,0,1,0,0,4,1,1,0,8,6,1,1,0,0,3,1,1,1,0,3,20,12,5,DDWWN,DDDWN,8,6,0,0,0,0,0,0,0,0,3,1,2,2,8
False,2021-09-19,West Ham,Man United,0,0,1,0,0,4,6,2,2,6,6,1,1,1,0,3,1,1,1,0,3,11,6,5,DDDWN,DDDWN,6,6,0,0,0,0,0,0,0,0,2,4,0,0,5
False,2021-09-19,Tottenham,Chelsea,0,0,1,0,0,2,5,0,0,8,8,1,1,0,0,3,1,1,0,0,3,2,1,5,DDWWN,DDWWN,8,8,0,0,0,0,0,0,0,0,2,5,0,0,1
False,2021-09-25,Chelsea,Man City,0,0,1,0,0,5,5,0,1,9,6,1,1,1,0,0,1,1,1,0,2,1,3,6,DDDWW,DDDWL,9,6,0,0,0,0,0,0,0,0,5,4,3,3,-2
False,2021-09-25,Everton,Norwich,0,0,1,0,0,5,0,3,8,7,3,1,1,1,1,0,1,1,1,2,2,7,20,6,DDDDW,DDDLL,7,3,0,0,0,0,0,0,0,0,2,-8,4,4,-13
False,2021-09-25,Leeds,West Ham,0,0,1,0,0,3,4,7,2,4,7,1,1,1,1,2,1,1,1,1,0,20,11,6,DDDDL,DDDDW,4,7,0,0,0,0,0,0,0,0,-4,2,-3,-3,9
False,2021-09-25,Leicester,Burnley,0,0,1,0,0,1,1,0,4,7,3,1,1,1,1,0,1,1,1,2,2,12,16,6,DDDDW,DDDLL,7,3,0,0,0,0,0,0,0,0,1,-3,4,4,-4
False,2021-09-25,Man United,Aston Villa,0,0,1,0,0,6,4,2,3,7,6,1,1,1,1,0,1,1,1,0,2,6,20,6,DDDDW,DDDWL,7,6,0,0,0,0,0,0,0,0,4,1,1,1,-14
False,2021-09-25,Watford,Newcastle,0,0,1,0,0,3,2,4,6,6,3,1,1,1,2,0,1,1,1,2,2,17,20,6,DDDLW,DDDLL,6,3,0,0,0,0,0,0,0,0,-1,-4,3,3,-3
False,2021-09-25,Brentford,Liverpool,0,0,1,0,0,2,5,0,0,7,9,1,1,1,1,0,1,1,1,0,0,20,4,6,DDDDW,DDDWW,7,9,0,0,0,0,0,0,0,0,2,5,-2,-2,16
False,2021-09-26,Southampton,Wolves,0,0,1,0,0,2,0,4,2,4,3,1,1,1,1,2,1,1,1,2,2,8,20,6,DDDDL,DDDLL,4,3,0,0,0,0,0,0,0,0,-2,-2,1,1,-12
False,2021-09-26,Arsenal,Tottenham,0,0,1,0,0,0,2,4,0,3,9,1,1,1,2,2,1,1,1,0,0,5,2,6,DDDLL,DDDWW,3,9,0,0,0,0,0,0,0,0,-4,2,-6,-6,3
False,2021-09-27,Crystal Palace,Brighton,0,0,1,0,0,0,4,3,1,4,9,1,1,1,1,2,1,1,1,0,0,14,20,6,DDDDL,DDDWW,4,9,0,0,0,0,0,0,0,0,-3,3,-5,-5,-6
False,2021-10-02,Man United,Everton,0,0,1,0,0,6,5,2,3,8,8,1,1,1,1,1,1,1,1,1,1,6,7,7,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,4,2,0,0,-1
False,2021-10-02,Burnley,Norwich,0,0,1,0,0,1,0,4,8,4,4,1,1,1,1,2,1,1,1,1,2,16,20,7,DDDDL,DDDDL,4,4,0,0,0,0,0,0,0,0,-3,-8,0,0,-4
False,2021-10-02,Chelsea,Southampton,0,0,1,0,0,5,2,0,4,10,5,1,1,1,1,0,1,1,1,1,1,1,8,7,DDDDW,DDDDD,7,5,0,0,0,0,0,0,0,0,5,-2,5,2,-7
False,2021-10-02,Leeds,Watford,0,0,1,0,0,3,3,7,4,5,7,1,1,1,1,1,1,1,1,1,2,20,17,7,DDDDD,DDDDL,5,4,0,0,0,0,0,0,0,0,-4,-1,-2,1,3
False,2021-10-02,Tottenham,Aston Villa,0,0,1,0,0,2,4,0,3,10,7,1,1,1,1,0,1,1,1,1,0,2,20,7,DDDDW,DDDDW,7,7,0,0,0,0,0,0,0,0,2,1,3,0,-18
False,2021-10-02,Wolves,Newcastle,0,0,1,0,0,0,2,2,6,4,4,1,1,1,1,2,1,1,1,1,2,20,20,7,DDDDL,DDDDL,4,4,0,0,0,0,0,0,0,0,-2,-4,0,0,0
False,2021-10-02,Brighton,Arsenal,0,0,1,0,0,4,0,1,4,10,4,1,1,1,1,0,1,1,1,1,2,20,5,7,DDDDW,DDDDL,7,4,0,0,0,0,0,0,0,0,3,-4,6,3,15
False,2021-10-03,Crystal Palace,Leicester,0,0,1,0,0,0,1,3,0,5,8,1,1,1,1,1,1,1,1,1,1,14,12,7,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,-3,1,-3,0,2
False,2021-10-03,West Ham,Brentford,0,0,1,0,0,4,2,2,0,8,8,1,1,1,1,1,1,1,1,1,1,11,20,7,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,2,2,0,0,-9
False,2021-10-03,Liverpool,Man City,0,0,1,0,0,5,5,0,1,10,7,1,1,1,1,0,1,1,1,1,0,4,3,7,DDDDW,DDDDW,7,7,0,0,0,0,0,0,0,0,5,4,3,0,1
False,2021-10-16,Watford,Liverpool,0,0,1,0,0,3,5,4,0,8,11,1,1,1,1,1,1,1,1,1,1,17,4,8,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,-1,5,-3,0,13
False,2021-10-16,Aston Villa,Wolves,0,0,1,0,0,4,0,3,2,8,5,1,1,1,1,1,1,1,1,1,1,20,20,8,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,1,-2,3,0,0
False,2021-10-16,Leicester,Man United,0,0,1,0,0,1,6,0,2,9,9,1,1,1,1,1,1,1,1,1,1,12,6,8,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,1,4,0,0,6
False,2021-10-16,Man City,Burnley,0,0,1,0,0,5,1,1,4,8,5,1,1,1,1,1,1,1,1,1,1,3,16,8,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,4,-3,3,0,-13
False,2021-10-16,Norwich,Brighton,0,0,1,0,0,0,4,8,1,5,11,1,1,1,1,1,1,1,1,1,1,20,20,8,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,-8,3,-6,0,0
False,2021-10-16,Southampton,Leeds,0,0,1,0,0,2,3,4,7,6,6,1,1,1,1,1,1,1,1,1,1,8,20,8,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,-2,-4,0,0,-12
False,2021-10-16,Brentford,Chelsea,0,0,1,0,0,2,5,0,0,9,11,1,1,1,1,1,1,1,1,1,1,20,1,8,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,2,5,-2,0,19
False,2021-10-17,Everton,West Ham,0,0,1,0,0,5,4,3,2,9,9,1,1,1,1,1,1,1,1,1,1,7,11,8,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,2,2,0,0,-4
False,2021-10-17,Newcastle,Tottenham,0,0,1,0,0,2,2,6,0,5,11,1,1,1,1,1,1,1,1,1,1,20,2,8,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,-4,2,-6,0,18
False,2021-10-18,Arsenal,Crystal Palace,0,0,1,0,0,0,0,4,3,5,6,1,1,1,1,1,1,1,1,1,1,5,14,8,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,-4,-3,-1,0,-9
False,2021-10-22,Arsenal,Aston Villa,0,0,1,0,0,0,4,4,3,6,9,1,1,1,1,1,1,1,1,1,1,5,20,9,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,-4,1,-3,0,-15
False,2021-10-23,Chelsea,Norwich,0,0,1,0,0,5,0,0,8,12,6,1,1,1,1,1,1,1,1,1,1,1,20,9,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,5,-8,6,0,-19
False,2021-10-23,Crystal Palace,Newcastle,0,0,1,0,0,0,2,3,6,7,6,1,1,1,1,1,1,1,1,1,1,14,20,9,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,-3,-4,1,0,-6
False,2021-10-23,Everton,Watford,0,0,1,0,0,5,3,3,4,10,9,1,1,1,1,1,1,1,1,1,1,7,17,9,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,2,-1,1,0,-10
False,2021-10-23,Leeds,Wolves,0,0,1,0,0,3,0,7,2,7,6,1,1,1,1,1,1,1,1,1,1,20,20,9,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,-4,-2,1,0,0
False,2021-10-23,Southampton,Burnley,0,0,1,0,0,2,1,4,4,7,6,1,1,1,1,1,1,1,1,1,1,8,16,9,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,-2,-3,1,0,-8
False,2021-10-23,Brighton,Man City,0,0,1,0,0,4,5,1,1,12,9,1,1,1,1,1,1,1,1,1,1,20,3,9,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,3,4,3,0,17
False,2021-10-24,Brentford,Leicester,0,0,1,0,0,2,1,0,0,10,10,1,1,1,1,1,1,1,1,1,1,20,12,9,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,2,1,0,0,8
False,2021-10-24,West Ham,Tottenham,0,0,1,0,0,4,2,2,0,10,12,1,1,1,1,1,1,1,1,1,1,11,2,9,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,2,2,-2,0,9
False,2021-10-24,Man United,Liverpool,0,0,1,0,0,6,5,2,0,10,12,1,1,1,1,1,1,1,1,1,1,6,4,9,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,4,5,-2,0,2
False,2021-10-30,Leicester,Arsenal,0,0,1,0,0,1,0,0,4,11,7,1,1,1,1,1,1,1,1,1,1,12,5,10,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,1,-4,4,0,7
False,2021-10-30,Burnley,Brentford,0,0,1,0,0,1,2,4,0,7,11,1,1,1,1,1,1,1,1,1,1,16,20,10,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,-3,2,-4,0,-4
False,2021-10-30,Liverpool,Brighton,0,0,1,0,0,5,4,0,1,13,13,1,1,1,1,1,1,1,1,1,1,4,20,10,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,5,3,0,0,-16
False,2021-10-30,Man City,Crystal Palace,0,0,1,0,0,5,0,1,3,10,8,1,1,1,1,1,1,1,1,1,1,3,14,10,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,4,-3,2,0,-11
False,2021-10-30,Newcastle,Chelsea,0,0,1,0,0,2,5,6,0,7,13,1,1,1,1,1,1,1,1,1,1,20,1,10,DDDDD,DDDDD,5,5,0,0,0,0,0,0,0,0,-4,5,-6,0,19
